species,colony,core,trt1,trt2,tank,date_sampled
Mc,20,15,c,h,6B1,2017-10-28
Mc,20,18,c,c,6B2,2017-10-28
Mc,20,14,c,h,7A1,2017-10-28
Mc,20,05,c,c,7A2,2017-10-28
Mc,20,33,c,h,7B1,2017-10-28
Mc,20,27,c,c,7B2,2017-10-28
Mc,20,12,b,h,6B1,2017-10-28
Mc,20,21,b,c,6B2,2017-10-28
Mc,20,01,b,h,7A1,2017-10-28
Mc,20,24,b,c,7A2,2017-10-28
Mc,20,22,b,h,7B1,2017-10-28
Mc,20,20,b,c,7B2,2017-10-28
Mc,22,09,c,h,6B1,2017-10-28
Mc,22,03,c,c,6B2,2017-10-28
Mc,22,08,c,h,7A1,2017-10-28
Mc,22,16,c,c,7A2,2017-10-28
Mc,22,23,c,h,7B1,2017-10-28
Mc,22,20,c,c,7B2,2017-10-28
Mc,22,12,b,h,6B1,2017-10-28
Mc,22,24,b,c,6B2,2017-10-28
Mc,22,18,b,h,7A1,2017-10-28
Mc,22,01,b,c,7A2,2017-10-28
Mc,22,13,b,h,7B1,2017-10-28
Mc,22,27,b,c,7B2,2017-10-28
Mc,26,28,c,h,6B1,2017-10-28
Mc,26,06,c,c,6B2,2017-10-28
Mc,26,17,c,h,7A1,2017-10-28
Mc,26,30,c,c,7A2,2017-10-28
Mc,26,23,c,h,7B1,2017-10-28
Mc,26,15,c,c,7B2,2017-10-28
Mc,26,13,b,h,6B1,2017-10-28
Mc,26,18,b,c,6B2,2017-10-28
Mc,26,07,b,h,7A1,2017-10-28
Mc,26,22,b,c,7A2,2017-10-28
Mc,26,25,b,h,7B1,2017-10-28
Mc,26,09,b,c,7B2,2017-10-28
Mc,17,33,c,,,2017-10-28
Mc,17,40,b,,,2017-10-28
Mc,25,01,c,,,2017-10-28
Mc,25,07,b,,,2017-10-28
Mc,21,20,c,,,2017-10-28
Mc,21,08,b,,,2017-10-28
Mc,29,27,c,,,2017-10-28
Mc,29,06,b,,,2017-10-28
Mc,23,12,c,,,2017-10-28
Mc,23,02,b,,,2017-10-28
Mc,28,18,c,,,2017-10-28
Mc,28,40,b,,,2017-10-28